Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Team
Alejandro Garnacho,ar ARG,FW,21-148,6,5,343.0,3.8,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.9,0.9,2.2,3.1,32.0,5.0,59.0,0.26,0.52,0.79,0.26,0.79,0.22,0.58,0.8,0.22,0.8,Matches,Chelsea
Tosin Adarabioyo,eng ENG,DF,28-063,8,4,471.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,Chelsea
Joshua Acheampong,eng ENG,DF,19-205,5,4,349.0,3.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.6,4.0,11.0,0.0,0.26,0.0,0.26,0.26,0.26,0.16,0.0,0.16,0.16,0.16,Matches,Chelsea
Estêvão Willian,br BRA,FW,18-216,10,4,343.0,3.8,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.7,1.7,1.8,3.5,15.0,7.0,37.0,0.26,0.26,0.52,0.26,0.52,0.46,0.46,0.92,0.46,0.92,Matches,Chelsea
Wesley Fofana,fr FRA,DF,24-344,5,4,308.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,3.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,Chelsea
Liam Delap,eng ENG,FW,22-291,5,4,221.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,4.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.16,0.16,Matches,Chelsea
Jamie Gittens,eng ENG,FW,21-110,10,3,344.0,3.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.6,1.3,19.0,8.0,32.0,0.0,0.26,0.26,0.0,0.26,0.17,0.15,0.33,0.17,0.33,Matches,Chelsea
Andrey Santos,br BRA,MF,21-207,9,3,323.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.7,0.7,0.1,0.8,4.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.2,0.03,0.23,0.2,0.23,Matches,Chelsea
Jorrel Hato,nl NED,DF,19-264,4,2,168.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Chelsea
Cole Palmer,eng ENG,MF,23-204,3,2,145.0,1.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.8,9.0,11.0,14.0,0.62,0.0,0.62,0.62,0.62,0.5,0.01,0.51,0.5,0.51,Matches,Chelsea
Marc Guiu,es ESP,FW,19-326,5,1,165.0,1.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,0.7,1.9,2.0,1.0,8.0,0.0,0.55,0.55,0.0,0.55,0.64,0.4,1.04,0.64,1.04,Matches,Chelsea
