Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Team
George Hemmings,eng ENG,MF,18-267,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Aston Villa
,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,Aston Villa
Samuel Iling-Junior,eng ENG,"DF,MF",22-053,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Aston Villa
Jamaldeen Jimoh,eng ENG,MF,19-055,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Aston Villa
Travis Patterson,eng ENG,DF,20-051,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Aston Villa
Sam Proctor,eng ENG,GK,18-340,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Aston Villa
Triston Rowe,eng ENG,DF,19-192,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Aston Villa
James Wright,eng ENG,GK,20-359,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Aston Villa
Squad Total,,,28.4,12,132,1080,12.0,15,11,26,15,0,0,20,1,10.7,10.7,8.5,19.2,167,434,428,1.25,0.92,2.17,1.25,2.17,0.89,0.71,1.60,0.89,1.60,,Aston Villa
Opponent Total,,,26.9,12,132,1080,12.0,11,6,17,10,1,2,30,1,16.2,14.6,11.1,25.7,216,391,388,0.92,0.50,1.42,0.83,1.33,1.35,0.93,2.28,1.22,2.15,,Aston Villa
Dean Henderson,eng ENG,GK,28-259,12,12,1080.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Crystal Palace
Maxence Lacroix,fr FRA,DF,25-234,12,12,1080.0,12.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.8,1.3,1.0,18.0,3.0,0.0,0.17,0.17,0.0,0.17,0.04,0.07,0.11,0.04,0.11,Matches,Crystal Palace
Tyrick Mitchell,eng ENG,"DF,MF",26-086,12,12,1079.0,12.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.4,0.4,0.7,1.2,25.0,18.0,70.0,0.08,0.0,0.08,0.08,0.08,0.03,0.06,0.1,0.03,0.1,Matches,Crystal Palace
Daniel Muñoz,co COL,"DF,MF",29-184,12,12,1079.0,12.0,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,1.4,1.4,2.4,3.8,17.0,27.0,69.0,0.17,0.17,0.33,0.17,0.33,0.11,0.2,0.31,0.11,0.31,Matches,Crystal Palace
Chris Richards,us USA,DF,25-243,12,12,1072.0,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.3,0.7,3.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.06,0.03,0.06,Matches,Crystal Palace
Jean-Philippe Mateta,fr FRA,FW,28-151,12,12,1018.0,11.3,6.0,0.0,6.0,4.0,2.0,2.0,2.0,0.0,8.4,6.8,0.3,7.1,7.0,11.0,52.0,0.53,0.0,0.53,0.35,0.35,0.74,0.02,0.77,0.6,0.63,Matches,Crystal Palace
Marc Guéhi,eng ENG,DF,25-136,11,11,990.0,11.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1.1,2.0,13.0,59.0,5.0,0.09,0.09,0.18,0.09,0.18,0.08,0.1,0.18,0.08,0.18,Matches,Crystal Palace
Ismaila Sarr,sn SEN,"MF,FW",27-274,10,10,881.0,9.8,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,3.8,3.8,0.7,4.6,26.0,30.0,47.0,0.31,0.1,0.41,0.31,0.41,0.39,0.07,0.47,0.39,0.47,Matches,Crystal Palace
Daichi Kamada,jp JPN,MF,29-113,10,10,837.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.9,1.6,15.0,38.0,30.0,0.0,0.0,0.0,0.0,0.0,0.07,0.1,0.18,0.07,0.18,Matches,Crystal Palace
Adam Wharton,eng ENG,MF,21-293,10,10,784.0,8.7,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,2.3,2.6,9.0,51.0,10.0,0.0,0.11,0.11,0.0,0.11,0.04,0.27,0.3,0.04,0.3,Matches,Crystal Palace
Yeremi Pino,es ESP,"MF,FW",23-037,10,8,611.0,6.8,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.5,1.5,2.1,3.6,14.0,40.0,59.0,0.15,0.0,0.15,0.15,0.15,0.22,0.31,0.53,0.22,0.53,Matches,Crystal Palace
Will Hughes,eng ENG,MF,30-223,10,5,451.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.5,0.7,2.0,30.0,3.0,0.0,0.0,0.0,0.0,0.0,0.03,0.1,0.14,0.03,0.14,Matches,Crystal Palace
Jefferson Lerma,co COL,MF,31-032,11,3,376.0,4.2,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,0.2,0.7,2.0,21.0,3.0,0.0,0.24,0.24,0.0,0.24,0.13,0.04,0.18,0.13,0.18,Matches,Crystal Palace
Justin Devenny,nir NIR,"MF,FW",22-046,9,1,172.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,6.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.22,0.06,0.28,0.22,0.28,Matches,Crystal Palace
Jaydee Canvot,fr FRA,DF,19-120,3,1,99.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,Crystal Palace
Eberechi Eze,eng ENG,MF,27-150,1,1,83.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.26,0.26,0.26,Matches,Crystal Palace
Eddie Nketiah,eng ENG,"MF,FW",26-180,6,0,143.0,1.6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.8,1.8,6.0,2.0,5.0,0.63,0.0,0.63,0.63,0.63,0.61,0.53,1.14,0.61,1.14,Matches,Crystal Palace
Romain Esse,eng ENG,FW,20-197,1,0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Crystal Palace
Christantus Uche,ng NGA,MF,22-191,3,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches,Crystal Palace
Nathaniel Clyne,eng ENG,DF,34-235,1,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Crystal Palace
Odsonne Édouard,fr FRA,FW,27-314,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Crystal Palace
Borna Sosa,hr CRO,DF,27-309,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Crystal Palace
Walter Benítez,ar ARG,GK,32-311,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal Palace
Rio Cardines,tt TRI,MF,19-148,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal Palace
Remi Matthews,eng ENG,GK,31-289,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal Palace
Jesurun Rak Sakyi,eng ENG,"FW,MF",23-052,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal Palace
Kaden Rodney,eng ENG,"DF,MF",21-050,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal Palace
Squad Total,,,26.8,12,132,1080.0,12.0,15.0,8.0,23.0,13.0,2.0,2.0,22.0,0.0,20.2,18.7,13.4,32.1,149.0,380.0,376.0,1.25,0.67,1.92,1.08,1.75,1.69,1.11,2.8,1.56,2.68,,Crystal Palace
Opponent Total,,,26.5,12,132,1080.0,12.0,9.0,3.0,12.0,8.0,1.0,1.0,29.0,0.0,14.4,13.6,8.9,22.5,177.0,474.0,471.0,0.75,0.25,1.0,0.67,0.92,1.2,0.74,1.94,1.13,1.88,,Crystal Palace
Jan Paul van Hecke,nl NED,DF,25-171,12,12,1080.0,12.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.7,0.7,0.1,0.8,26.0,90.0,4.0,0.08,0.0,0.08,0.08,0.08,0.06,0.01,0.07,0.06,0.07,Matches,Brighton
Bart Verbruggen,nl NED,GK,23-100,12,12,1080.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,Brighton
Yankuba Minteh,gm GAM,FW,21-127,12,12,1035.0,11.5,1.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,2.3,2.3,3.4,5.7,59.0,15.0,114.0,0.09,0.35,0.43,0.09,0.43,0.2,0.3,0.49,0.2,0.49,Matches,Brighton
Lewis Dunk,eng ENG,DF,34-005,12,11,1035.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,0.0,0.6,7.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches,Brighton
Carlos Baleba,cm CMR,MF,21-327,12,11,690.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.1,0.2,7.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches,Brighton
Yasin Ayari,se SWE,MF,22-051,12,10,962.0,10.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4,1.4,10.0,36.0,16.0,0.09,0.0,0.09,0.09,0.09,0.09,0.03,0.13,0.09,0.13,Matches,Brighton
Danny Welbeck,eng ENG,FW,35-000,12,9,802.0,8.9,7.0,0.0,7.0,7.0,0.0,1.0,2.0,0.0,4.9,4.1,0.3,4.4,6.0,9.0,31.0,0.79,0.0,0.79,0.79,0.79,0.55,0.03,0.58,0.46,0.49,Matches,Brighton
Georginio Rutter,fr FRA,"MF,FW",23-220,11,9,766.0,8.5,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,1.9,2.3,17.0,37.0,35.0,0.0,0.23,0.23,0.0,0.23,0.05,0.22,0.27,0.05,0.27,Matches,Brighton
Ferdi Kadioglu,tr TUR,"DF,FW",26-050,11,8,827.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,0.4,0.7,28.0,37.0,41.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.08,0.03,0.08,Matches,Brighton
Mats Wieffer,nl NED,DF,26-010,10,8,731.0,8.1,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,1.7,1.9,17.0,46.0,26.0,0.0,0.25,0.25,0.0,0.25,0.02,0.2,0.23,0.02,0.23,Matches,Brighton
Diego Gómez,py PAR,"MF,FW",22-244,11,7,610.0,6.8,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,1.9,1.9,0.9,2.8,6.0,17.0,23.0,0.3,0.0,0.3,0.3,0.3,0.28,0.13,0.41,0.28,0.41,Matches,Brighton
Kaoru Mitoma,jp JPN,FW,28-190,6,6,508.0,5.6,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.8,0.8,1.1,1.8,13.0,13.0,37.0,0.18,0.18,0.35,0.18,0.35,0.13,0.19,0.32,0.13,0.32,Matches,Brighton
Maxim De Cuyper,be BEL,DF,24-339,10,5,460.0,5.1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.7,0.7,0.4,1.1,4.0,21.0,15.0,0.2,0.0,0.2,0.2,0.2,0.14,0.08,0.22,0.14,0.22,Matches,Brighton
Joël Veltman,nl NED,DF,33-315,6,4,342.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,Brighton
Brajan Gruda,de GER,"MF,FW",21-179,8,2,225.0,2.5,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.4,1.4,0.5,1.9,8.0,6.0,28.0,0.4,0.4,0.8,0.4,0.8,0.56,0.18,0.75,0.56,0.75,Matches,Brighton
Matt O'Riley,dk DEN,MF,25-005,2,2,177.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.2,0.4,0.2,0.6,0.0,5.0,11.0,0.51,0.0,0.51,0.0,0.0,0.61,0.1,0.72,0.21,0.32,Matches,Brighton
Jack Hinshelwood,eng ENG,MF,20-229,4,2,128.0,1.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,2.0,2.0,2.0,0.7,0.0,0.7,0.7,0.7,0.03,0.08,0.11,0.03,0.11,Matches,Brighton
James Milner,eng ENG,MF,39-326,7,1,193.0,2.1,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.8,0.0,0.2,0.2,2.0,9.0,5.0,0.47,0.47,0.93,0.0,0.47,0.37,0.1,0.47,0.0,0.1,Matches,Brighton
Olivier Boscagli,fr FRA,DF,28-008,1,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brighton
Stefanos Tzimas,gr GRE,"MF,FW",19-324,7,0,90.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.5,0.8,1.0,1.0,7.0,0.0,1.0,1.0,0.0,1.0,0.37,0.46,0.83,0.37,0.83,Matches,Brighton
Tom Watson,eng ENG,FW,19-232,2,0,42.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches,Brighton
Charalampos Kostoulas,gr GRE,"MF,FW",18-180,4,0,32.0,0.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,1.0,0.0,2.0,2.81,0.0,2.81,2.81,2.81,0.7,0.0,0.7,0.7,0.7,Matches,Brighton
Diego Coppola,it ITA,DF,21-333,3,0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brighton
Joe Knight,eng ENG,MF,20-066,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brighton
Nehemiah Oriola,eng ENG,MF,18-168,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brighton
Jason Steele,eng ENG,GK,35-100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton
Squad Total,,,26.0,12,132,1080.0,12.0,19.0,12.0,31.0,17.0,2.0,3.0,32.0,0.0,17.8,15.5,12.1,27.7,224.0,417.0,413.0,1.58,1.0,2.58,1.42,2.42,1.48,1.01,2.5,1.29,2.31,,Brighton
Opponent Total,,,26.5,12,132,1080.0,12.0,14.0,10.0,24.0,12.0,2.0,3.0,27.0,1.0,15.0,12.6,9.9,22.5,181.0,393.0,392.0,1.17,0.83,2.0,1.0,1.83,1.25,0.83,2.07,1.05,1.88,,Brighton
Robin Roefs,nl NED,GK,22-313,12,12,1080.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,Sunderland
Granit Xhaka,ch SUI,MF,33-060,12,12,1080.0,12.0,1.0,3.0,4.0,1.0,0.0,0.0,4.0,0.0,0.4,0.4,1.5,1.9,7.0,66.0,12.0,0.08,0.25,0.33,0.08,0.33,0.03,0.13,0.16,0.03,0.16,Matches,Sunderland
Noah Sadiki,cd COD,MF,20-344,12,12,1071.0,11.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,0.4,0.5,24.0,37.0,32.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Matches,Sunderland
Trai Hume,nir NIR,"DF,MF",23-253,12,12,1067.0,11.9,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.5,1.0,13.0,44.0,29.0,0.0,0.08,0.08,0.0,0.08,0.04,0.04,0.08,0.04,0.08,Matches,Sunderland
Nordi Mukiele,fr FRA,DF,28-025,10,10,900.0,10.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,0.5,1.1,7.0,30.0,20.0,0.1,0.1,0.2,0.1,0.2,0.06,0.05,0.11,0.06,0.11,Matches,Sunderland
Enzo Le Fée,fr FRA,"FW,MF",25-296,11,9,782.0,8.7,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.2,0.8,1.0,16.0,23.0,47.0,0.12,0.12,0.23,0.0,0.12,0.12,0.09,0.21,0.03,0.12,Matches,Sunderland
Reinildo Mandava,mz MOZ,"DF,MF",31-309,9,9,752.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.1,0.1,0.0,0.1,17.0,34.0,16.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,Sunderland
Wilson Isidor,fr FRA,FW,25-091,12,9,735.0,8.2,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,2.6,2.6,0.0,2.6,5.0,6.0,35.0,0.49,0.0,0.49,0.49,0.49,0.32,0.0,0.32,0.32,0.32,Matches,Sunderland
Daniel Ballard,nir NIR,DF,26-065,10,7,672.0,7.5,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7,1.6,2.0,17.0,3.0,0.27,0.0,0.27,0.27,0.27,0.13,0.09,0.22,0.13,0.22,Matches,Sunderland
Omar Alderete,py PAR,DF,28-335,8,7,668.0,7.4,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,0.1,0.7,10.0,31.0,2.0,0.13,0.13,0.27,0.13,0.27,0.08,0.01,0.09,0.08,0.09,Matches,Sunderland
Chemsdine Talbi,ma MAR,"FW,MF",20-201,12,6,618.0,6.9,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3,1.3,11.0,5.0,38.0,0.15,0.15,0.29,0.15,0.29,0.15,0.04,0.18,0.15,0.18,Matches,Sunderland
Bertrand Traoré,bf BFA,"FW,MF",30-081,7,6,422.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.8,1.3,5.0,7.0,36.0,0.0,0.0,0.0,0.0,0.0,0.11,0.16,0.27,0.11,0.27,Matches,Sunderland
Lutsharel Geertruida,nl NED,DF,25-131,9,4,433.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.1,0.8,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.02,0.16,0.14,0.16,Matches,Sunderland
Habib Diarra,sn SEN,MF,21-327,4,4,345.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.0,0.6,10.0,13.0,17.0,0.0,0.0,0.0,0.0,0.0,0.15,0.01,0.16,0.15,0.16,Matches,Sunderland
Simon Adingra,ci CIV,"FW,MF",23-329,8,4,301.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.6,0.7,8.0,2.0,35.0,0.0,0.0,0.0,0.0,0.0,0.04,0.18,0.22,0.04,0.22,Matches,Sunderland
Eliezer Mayenda,es ESP,FW,20-202,8,3,265.0,2.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.9,3.0,3.0,8.0,0.34,0.0,0.34,0.34,0.34,0.16,0.16,0.32,0.16,0.32,Matches,Sunderland
Chris Rigg,eng ENG,MF,18-161,6,3,187.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.09,0.05,0.09,Matches,Sunderland
Arthur Masuaku,cd COD,"DF,MF",32-019,3,2,126.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.1,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.1,0.05,0.1,Matches,Sunderland
Jenson Seelt,nl NED,DF,22-187,2,1,134.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Sunderland
Brian Brobbey,nl NED,FW,23-298,7,0,139.0,1.5,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,2.0,3.0,4.0,0.65,0.65,1.29,0.65,1.29,0.07,0.07,0.15,0.07,0.15,Matches,Sunderland
Patrick Roberts,eng ENG,"MF,FW",28-294,1,0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.11,0.11,Matches,Sunderland
Marc Guiu,es ESP,FW,19-326,2,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.14,0.14,Matches,Sunderland
Dan Neil,eng ENG,MF,23-348,2,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Sunderland
Harrison Jones,eng ENG,MF,20-336,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Sunderland
Luke O'Nien,eng ENG,"DF,MF",31-005,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Sunderland
Anthony Patterson,eng ENG,GK,25-200,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Sunderland
Squad Total,,,25.8,12,132,1080.0,12.0,13.0,9.0,22.0,12.0,1.0,1.0,22.0,1.0,10.4,9.7,7.0,16.7,150.0,354.0,350.0,1.08,0.75,1.83,1.0,1.75,0.87,0.58,1.46,0.81,1.39,,Sunderland
Opponent Total,,,27.1,12,132,1080.0,12.0,11.0,9.0,20.0,11.0,0.0,1.0,17.0,0.0,15.3,14.5,10.4,24.9,217.0,539.0,528.0,0.92,0.75,1.67,0.92,1.67,1.28,0.87,2.14,1.21,2.08,,Sunderland
Đorđe Petrović,rs SRB,GK,26-049,12,12,1080.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth
Marcos Senesi,ar ARG,DF,28-200,12,12,1067.0,11.9,0.0,3.0,3.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,1.1,1.3,7.0,71.0,4.0,0.0,0.25,0.25,0.0,0.25,0.02,0.09,0.11,0.02,0.11,Matches,Bournemouth
Adrien Truffert,fr FRA,DF,24-006,12,12,1052.0,11.7,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,1.0,1.2,25.0,54.0,75.0,0.0,0.09,0.09,0.0,0.09,0.01,0.09,0.1,0.01,0.1,Matches,Bournemouth
Tyler Adams,us USA,MF,26-285,12,12,1031.0,11.5,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.4,0.4,0.1,0.5,10.0,51.0,7.0,0.09,0.09,0.17,0.09,0.17,0.04,0.01,0.04,0.04,0.04,Matches,Bournemouth
Antoine Semenyo,gh GHA,"FW,MF",25-323,11,11,989.0,11.0,6.0,3.0,9.0,5.0,1.0,2.0,2.0,0.0,4.6,3.0,0.5,3.5,35.0,39.0,62.0,0.55,0.27,0.82,0.46,0.73,0.42,0.05,0.46,0.28,0.32,Matches,Bournemouth
Marcus Tavernier,eng ENG,"MF,FW",26-249,12,11,946.0,10.5,3.0,1.0,4.0,2.0,1.0,1.0,0.0,0.0,2.5,1.7,1.7,3.4,34.0,47.0,71.0,0.29,0.1,0.38,0.19,0.29,0.24,0.16,0.4,0.16,0.32,Matches,Bournemouth
Alex Scott,eng ENG,MF,22-097,12,11,773.0,8.6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,0.5,1.1,18.0,25.0,23.0,0.12,0.0,0.12,0.12,0.12,0.07,0.06,0.13,0.07,0.13,Matches,Bournemouth
Evanilson,br BRA,FW,26-051,10,9,811.0,9.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.8,2.8,6.0,7.0,31.0,0.11,0.0,0.11,0.11,0.11,0.22,0.09,0.31,0.22,0.31,Matches,Bournemouth
Bafodé Diakité,fr FRA,DF,24-324,9,9,765.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,1.0,29.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,Bournemouth
