Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,MW,HTFormPtsStr,ATFormPtsStr,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPtrs,DiffFormPts
26/08/00,Newcastle,Tottenham,2,0,H,3,4,4,2,1.0,1.3333333333333333, ,W,M,M,M, ,D,M,M,M,3.0, WMMM, DMMM,3,1,0,0,0,0,0,0,0,0,-0.3333333333333333,0.6666666666666666,-0.3333333333333333,2,0.6666666666666666
26/08/00,Southampton,Liverpool,3,3,NH,3,1,4,2,0.3333333333333333,1.0, ,L,M,M,M, ,L,M,M,M,3.0, LMMM, LMMM,0,0,0,0,0,0,0,0,0,0,-0.3333333333333333,-0.3333333333333333,-0.6666666666666666,0,0.0
26/08/00,West Ham,Man United,2,2,NH,2,3,5,1,0.0,1.3333333333333333, ,L,M,M,M, ,D,M,M,M,3.0, LMMM, DMMM,0,1,0,0,0,0,0,0,0,0,-1.0,0.6666666666666666,-1.3333333333333333,-1,-0.3333333333333333
27/08/00,Aston Villa,Chelsea,1,1,NH,1,4,1,4,0.6666666666666666,1.0, ,D,M,M,M, ,L,M,M,M,3.0, DMMM, LMMM,1,0,0,0,0,0,0,0,0,0,0.0,0.0,-0.3333333333333333,1,0.3333333333333333
05/09/00,Leeds,Man City,1,2,NH,4,4,1,6,2.0,1.0, ,W,M,M,M, ,W,M,M,M,3.0, WMMM, WMMM,3,3,0,0,0,0,0,0,0,0,1.0,-0.6666666666666666,1.0,0,0.0
05/09/00,Man United,Bradford,6,0,H,5,2,3,1,1.25,1.0, ,D,D,M,M, ,D,W,M,M,4.0, DDMM, DWMM,2,4,0,0,0,0,0,0,0,0,0.5,0.25,0.25,-2,-0.5
05/09/00,Sunderland,West Ham,1,1,NH,3,4,5,7,0.75,0.25, ,L,L,M,M, ,D,L,M,M,4.0, LLMM, DLMM,0,1,0,0,0,0,0,0,0,0,-0.5,-0.75,0.5,-1,-0.25
05/09/00,Tottenham,Everton,3,2,H,4,5,4,4,1.0,1.0, ,L,D,M,M, ,D,W,M,M,4.0, LDMM, DWMM,1,4,0,0,0,0,0,0,0,0,0.0,0.25,0.0,-3,-0.75
06/09/00,Charlton,Southampton,1,1,NH,7,6,8,7,0.75,0.5, ,L,L,M,M, ,D,L,M,M,4.0, LLMM, DLMM,0,1,0,0,0,0,0,0,0,0,-0.25,-0.25,0.25,-1,-0.25
06/09/00,Chelsea,Arsenal,2,2,NH,5,7,5,4,1.0,1.5, ,D,L,M,M, ,W,W,M,M,4.0, DLMM, WWMM,1,6,0,0,0,0,0,0,0,0,0.0,0.75,-0.5,-5,-1.25
06/09/00,Coventry,Newcastle,0,2,NH,5,5,5,4,1.5,1.5, ,W,W,M,M, ,W,W,M,M,4.0, WWMM, WWMM,6,6,0,0,0,0,0,0,0,0,0.0,0.25,0.0,0,0.0
06/09/00,Derby,Middlesbrough,3,3,NH,6,5,7,4,0.5,1.0, ,D,L,M,M, ,L,D,M,M,4.0, DLMM, LDMM,1,1,0,0,0,0,0,0,0,0,-0.25,0.25,-0.5,0,0.0
06/09/00,Leicester,Ipswich,2,1,H,1,3,0,4,1.25,1.0, ,D,W,M,M, ,W,D,M,M,4.0, DWMM, WDMM,4,4,0,0,0,0,0,0,0,0,0.25,-0.25,0.25,0,0.0
